"County Code","County","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"08103","Rio Blanco County, CO",".",".",".","1","0.07","0.064",".",".",".","15","7.7",".",".","."
"08107","Routt County, CO",".",".",".",".",".",".",".",".",".",".",".","76","19","."
"08113","San Miguel County, CO",".",".",".",".",".",".",".",".",".",".",".","64","17","."
"08123","Weld County, CO","1.2","0.8",".",".","0.09","0.072",".",".",".","22","8.6","56","22","."
"09001","Fairfield County, CT","1.7","1.2",".",".","0.11","0.081","3","1","0","20","7.5","30","12","."
"09003","Hartford County, CT","1.7","1.1","56","16","0.1","0.07",".",".",".","17","7.9","50","16","."
"09005","Litchfield County, CT","3.5","0.6",".",".","0.08","0.067","2","1","0","12","4.3","22","7","."
"09007","Middlesex County, CT",".",".",".",".","0.1","0.079",".",".",".",".",".",".",".","."
"09009","New Haven County, CT","1.4","0.9",".","13","0.11","0.086","2","1","0","18","6.7","30","12","."
"09011","New London County, CT",".",".",".",".","0.1","0.078",".",".",".","14","5.2",".",".","."
"09013","Tolland County, CT",".",".",".",".","0.1","0.07",".",".",".",".",".",".",".","."
"09015","Windham County, CT",".",".",".",".","0.1","0.075",".",".",".",".",".",".",".","."
"10001","Kent County, DE",".",".",".",".","0.08","0.066",".",".",".","15","6.4",".",".","."
"10003","New Castle County, DE","1.3","1","42","11","0.09","0.074","4","2","1","19","8",".",".","."
"10005","Sussex County, DE",".",".",".",".","0.07","0.063","1","0","0","17","7.4",".",".","."
"11001","District of Columbia","2.7","2.3","58","15","0.08","0.071","4","3","1","21","10.2","44","16","."
"12001","Alachua County, FL",".",".",".",".","0.08","0.063",".",".",".","18","7.1",".",".","."
"12003","Baker County, FL",".",".",".",".","0.07","0.062",".",".",".",".",".",".",".","."
"12005","Bay County, FL",".",".",".",".","0.07","0.059",".",".",".",".",".",".",".","."
"12009","Brevard County, FL",".",".",".",".","0.07","0.061",".",".",".",".",".","49","14","."
"12011","Broward County, FL","2.5","1.6","44","15","0.09","0.067","1","0","0","24","9.8","39","13","."
"12017","Citrus County, FL",".",".",".",".",".",".","37","6","1",".",".",".",".","."
"12021","Collier County, FL",".",".",".",".","0.07","0.062",".",".",".",".",".",".",".","."
"12023","Columbia County, FL",".",".",".",".","0.07","0.062",".",".",".",".",".",".",".","."
"12031","Duval County, FL","2.6","1.4","35","11","0.08","0.061","18","3","1",".",".",".",".","."
"12033","Escambia County, FL",".",".",".",".","0.08","0.066","8","2","1","16","7.8",".",".","."
"12035","Flagler County, FL",".",".",".",".","0.07","0.06",".",".",".",".",".",".",".","."
"12055","Highlands County, FL",".",".",".",".","0.07","0.061",".",".",".",".",".",".",".","."
"12057","Hillsborough County, FL","1.4","1",".","10","0.09","0.068","15","4","1","16","8","33","13","0.13"
"12059","Holmes County, FL",".",".",".",".","0.06","0.056",".",".",".",".",".",".",".","."
"12061","Indian River County, FL",".",".",".",".","0.08","0.063",".",".",".",".",".",".",".","."
"12069","Lake County, FL",".",".",".",".","0.08","0.068",".",".",".",".",".",".",".","."
"12071","Lee County, FL",".",".",".",".","0.07","0.065",".",".",".",".",".",".",".","."
"12073","Leon County, FL",".",".",".",".","0.08","0.063",".",".",".","19","8",".",".","."
"12077","Liberty County, FL",".",".",".",".","0.06","0.056",".",".",".",".",".",".",".","."
"12081","Manatee County, FL",".",".",".",".","0.09","0.066","8","3","1",".",".",".",".","."
"12083","Marion County, FL",".",".",".",".","0.07","0.064",".",".",".",".",".",".",".","."
"12085","Martin County, FL",".",".",".",".","0.08","0.063",".",".",".",".",".",".",".","."
"12086","Miami-Dade County, FL","1.6","1.1",".","12","0.08","0.067",".",".",".","23","8.4","53","23","."
"12089","Nassau County, FL",".",".",".",".",".",".","32","13","1",".",".",".",".","."
"12091","Okaloosa County, FL",".",".",".",".","0.07","0.062",".",".",".",".",".","60","16","."
"12095","Orange County, FL","2.8","1.4","30","4","0.08","0.068","5","1","0","18","7.8","59","13","."
"12097","Osceola County, FL",".",".",".",".","0.09","0.067",".",".",".",".",".",".",".","."
"12099","Palm Beach County, FL",".",".",".","4","0.08","0.065",".",".",".","14","6.6",".",".","."
"12101","Pasco County, FL",".",".",".",".","0.08","0.061",".",".",".",".",".",".",".","."
"12103","Pinellas County, FL","3.2","1.9","29","8","0.08","0.065","3","1","0","22","7.7","51","20","."
"12105","Polk County, FL",".",".",".",".","0.08","0.072",".",".",".","15","7.5",".",".","."
"12107","Putnam County, FL",".",".",".",".",".",".","20","9","1",".",".","58","18","."
"12111","St. Lucie County, FL",".",".",".",".","0.07","0.062",".",".",".",".",".",".",".","."
"12113","Santa Rosa County, FL",".",".",".",".","0.08","0.061",".",".",".",".",".",".",".","."
"12115","Sarasota County, FL",".",".","14","2","0.09","0.067",".",".",".","15","7","48","18","."
"12117","Seminole County, FL",".",".",".",".","0.08","0.067",".",".",".","15","6.3","52","13","."
"12127","Volusia County, FL",".",".",".",".","0.07","0.062",".",".",".","15","7.1",".",".","."
"12129","Wakulla County, FL","0.4","0.4",".",".","0.07","0.061",".",".",".",".",".",".",".","."
"13021","Bibb County, GA",".",".",".",".","0.08","0.063","2","1","1","18","9.6",".",".","."
"13051","Chatham County, GA",".",".",".",".","0.07","0.057","53","12","1",".",".",".",".","."
"13055","Chattooga County, GA",".",".",".",".","0.06","0.057",".",".",".",".",".",".",".","."
"13059","Clarke County, GA",".",".",".",".","0.07","0.063",".",".",".","16","7.8",".",".","."
"13063","Clayton County, GA",".",".",".",".",".",".",".",".",".","19","9.7",".",".","."
"13067","Cobb County, GA",".",".",".",".","0.08","0.065",".",".",".","18","8.8",".",".","."
"13073","Columbia County, GA",".",".",".",".","0.07","0.058",".",".",".",".",".",".",".","."
"13077","Coweta County, GA",".",".",".",".","0.07","0.057",".",".",".",".",".",".",".","."
"13085","Dawson County, GA",".",".",".",".","0.08","0.065",".",".",".",".",".",".",".","."
"13089","DeKalb County, GA","2.2","1.3","45","15","0.09","0.068","2","1","0","21","9","41","17","."
"13095","Dougherty County, GA",".",".",".",".",".",".",".",".",".","25","10.4",".",".","."
"13097","Douglas County, GA",".",".",".",".","0.08","0.066",".",".",".",".",".",".",".","."
"13115","Floyd County, GA",".",".",".",".",".",".","22","6","1",".",".",".",".","."
"13121","Fulton County, GA","2.3","1.8","46","18","0.09","0.074","7","3","1","22","10.4","27","16","."
"13127","Glynn County, GA",".",".",".",".","0.07","0.056",".",".",".","17","7.5",".",".","."
"13135","Gwinnett County, GA",".",".",".",".","0.08","0.065",".",".",".","16","8.5",".",".","."
"13139","Hall County, GA",".",".",".",".",".",".",".",".",".","15","7.5",".",".","."
"13151","Henry County, GA",".",".",".",".","0.09","0.067",".",".",".",".",".",".",".","."
"13153","Houston County, GA",".",".",".",".",".",".",".",".",".","16","8.3",".",".","."
"13185","Lowndes County, GA",".",".",".",".",".",".",".",".",".","21","8.2",".",".","."
"13213","Murray County, GA",".",".",".",".","0.07","0.065",".",".",".",".",".",".",".","."
"13215","Muscogee County, GA",".",".",".",".","0.07","0.058",".",".",".","34","9.7",".",".","0.36"
"13231","Pike County, GA",".",".",".",".","0.08","0.062",".",".",".",".",".",".",".","."
"13245","Richmond County, GA",".",".",".",".","0.07","0.058","35","8","1","21","9.1","104","23","."
"13247","Rockdale County, GA",".",".",".",".","0.08","0.065",".",".",".",".",".",".",".","."
"13261","Sumter County, GA",".",".",".",".","0.07","0.058",".",".",".",".",".",".",".","."
"13295","Walker County, GA",".",".",".",".",".",".",".",".",".","19","8.5",".",".","."
"13303","Washington County, GA",".",".",".",".",".",".",".",".",".","24","8.6",".",".","."
"15001","Hawaii County, HI",".",".",".",".",".",".","1609","351","35","27","10.9",".",".","."
"15003","Honolulu County, HI","1.7","1","33","4","0.06","0.049","55","11","1","14","4.4","38","15","0"
"15007","Kauai County, HI",".",".",".",".",".",".","2","2","0","9","2.6",".",".","."
"15009","Maui County, HI",".",".",".",".",".",".",".",".",".","11","4.1",".",".","."
"16001","Ada County, ID","15.9","4.1",".",".","0.09","0.076","3","1","0","42","9.1","138","23","."
"16005","Bannock County, ID",".",".",".",".",".",".","37","15","4","31","8.6","120","21","."
"16009","Benewah County, ID",".",".",".",".",".",".",".",".",".","54","13.5",".",".","."
"16017","Bonner County, ID",".",".",".",".",".",".",".",".",".",".",".","192","17","."
"16023","Butte County, ID",".",".",".",".","0.07","0.063",".",".",".",".",".",".",".","."
